"date","budget"
"2021-01-01","800000.00"
"2021-02-01","800000.00"
"2021-03-01","1000000.00"
"2021-04-01","1000000.00"
"2021-05-01","1100000.00"
"2021-06-01","1100000.00"
"2021-07-01","1500000.00"
"2021-08-01","1500000.00"
"2021-09-01","1500000.00"
"2021-10-01","1500000.00"
"2021-11-01","1500000.00"
"2021-12-01","2000000.00"
"2022-01-01","800000.00"
"2022-02-01","800000.00"
"2022-03-01","1000000.00"
"2022-04-01","1000000.00"
"2022-05-01","1100000.00"
"2022-06-01","1100000.00"
"2022-07-01","220000.00"
"2022-08-01","1500000.00"
"2022-09-01","1100000.00"
"2022-10-01","500000.00"
"2022-11-01","700000.00"
"2022-12-01","900000.00"
"2023-01-01","1000000.00"
"2023-02-01","1100000.00"
"2023-03-01","1100000.00"
"2023-04-01","1500000.00"
"2023-05-01","1500000.00"
"2023-06-01","1500000.00"
